BFS Tremaux
31980 52343
88088 177380
166208 235578
334813 359420
173751 248741
317550 417939
356182 576788
620007 791410
842946 1026853
1161097 1336848
1006267 1193670
1089032 1484553
1348875 1565595
1616225 2171522
1629997 2441113
1911496 2499311
2643706 3293692
2452253 3538535
3350524 4278698
3420764 4627502
4069083 5618654
4694175 5877001
5169247 6737210
6290990 7329773
6976449 8195121
6432264 9669089
7248048 9850079
8436206 10877159
9751208 12023977
9972006 13077529
10976676 14301140
11768194 16303209
12675307 16435006
14107103 18051368
13985739 19696221
14841075 21738652
18005074 23852396
17696496 25407287
20246791 25610314
20107469 28521492
23408800 31254081
24095001 32818957
22194141 27603040
27283592 37345086
26788043 42515383
29750533 41115017
27768792 45988984
31845395 46214072
36198241 47709280
35126424 47255735
